pin_id,pin_type,target_aesthetic,headline,subheadline,cta_text,pinterest_title,pinterest_description,target_url,suggested_visual_style,keywords,board_name
"P001","quiz invitation","all","What’s Your Room Aesthetic?","Take the free quiz and find your dream room style","Start the quiz","What’s Your Room Aesthetic? Free Quiz","Not sure which bedroom look actually feels like you? Take this free 12-question room aesthetic quiz for a personalized palette, decor direction, and three easy first steps. No email required.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Warm cream room moodboard with six color swatches and editorial serif type","room aesthetic quiz; aesthetic room ideas; bedroom ideas","Room Aesthetic Ideas"
"P002","quiz invitation","all","Take the Free Room Quiz","12 quick questions. One room style that feels like you.","Find my style","Free Room Aesthetic Quiz for Your Dream Bedroom","Choose what you love and get a room style made for your real space—from a dorm room to a first apartment. Discover your colors, decor pieces, and first makeover steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six rounded result cards on an oatmeal background","room aesthetic quiz; room makeover; bedroom ideas","Room Aesthetic Ideas"
"P003","quiz invitation","all","Find Your Dream Room Style","Your Pinterest board is trying to tell you something","Take the quiz","Find Your Dream Room Style in 12 Questions","Your saved rooms may look different, but there is probably a style connecting them. This free room quiz helps you find it and gives you a practical makeover direction.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Pinterest-board collage with a clean centered headline","room aesthetic quiz; dream room; aesthetic room ideas","Dream Bedroom Inspiration"
"P004","quiz invitation","all","Your Room Style Says a Lot","Are you calm and minimal or bold and layered?","Find out free","What Does Your Dream Room Style Say About You?","Pick colors, lighting, textures, and your perfect Saturday to reveal your room aesthetic. Get a free result with decor ideas for a bedroom, dorm, or small apartment.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Split calm-neutral and rich-jewel-tone room concept","room style quiz; bedroom aesthetic; room decor","Room Aesthetic Ideas"
"P005","quiz invitation","all","Build Your Perfect Room Vibe","Start with your style—not a random shopping cart","Take the quiz","Build Your Perfect Room Vibe Before You Shop","Before buying more decor, find the palette and room mood that fit you. This quick free quiz gives you one clear aesthetic and three places to start.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Moodboard sheet with palette chips, lamp, bedding, and checklist","room makeover; room decor checklist; room aesthetic quiz","Room Makeover Tips"
"P006","quiz invitation","all","Which Room Are You Saving?","Pick the mood you want to come home to","Reveal my result","Which Room Aesthetic Are You Always Saving?","Cozy neutrals, pastel details, old-library warmth, earthy boho, or bold maximalism? Answer 12 fun questions and reveal the style behind your Pinterest saves.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six small room windows arranged like saved Pins","Pinterest room ideas; room aesthetic quiz; bedroom inspiration","Room Aesthetic Ideas"
"P007","quiz invitation","all","Your Dream Room Has a Type","Let’s give your saved ideas a name","Name my aesthetic","Give Your Dream Room Aesthetic a Name","If your room inspiration feels all over the place, this free quiz can help. Find one clear style direction plus colors, decor, and easy first steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Editorial type over layered paper moodboard scraps","room aesthetic quiz; dream room ideas; bedroom ideas","Dream Bedroom Inspiration"
"P008","quiz invitation","all","Pick a Lamp. Get a Room Style.","The fun free quiz for decor lovers","Take the quiz","Pick Your Favorites and Reveal Your Room Style","Choose your ideal lamp, color palette, wall decor, and room mood. Your answers reveal one of six aesthetics and a practical mini makeover plan.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six illustrated lamp silhouettes with warm shadows","room decor quiz; room aesthetic quiz; bedroom lighting","Room Aesthetic Ideas"
"P009","quiz invitation","all","Stop Guessing Your Aesthetic","Find the room style that fits your real life","Start free","Find a Room Aesthetic That Fits Your Real Life","Pretty inspiration is easier to use when you know your direction. Take the free room aesthetic quiz for colors, decor ideas, and three realistic starting steps.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Clean plan sheet layered over a cozy small bedroom","room aesthetic quiz; room makeover plan; small bedroom ideas","Room Makeover Tips"
"P010","quiz invitation","all","6 Room Aesthetics. Which Is Yours?","From Cozy Minimalist to Moody Maximalist","Find my match","Which of These 6 Room Aesthetics Is Yours?","Discover whether your dream room is Cozy Minimalist, Clean Girl, Dark Academia, Soft Girl, Modern Boho, or Moody Maximalist. The quiz is free and needs no email.","https://YOUR-USERNAME.github.io/room-aesthetic-quiz/","Six-color vertical palette with aesthetic names","room aesthetic quiz; room styles; aesthetic room ideas","Room Aesthetic Ideas"
